"","Year","Lg","G","W","L","Ties","W.L.","pythW.L.","Finish","GB","Playoffs","R","RA","Attendance","BatAge","PAge","X.Bat","X.P","Top.Player","Managers","Team","Popularity"
"1",2018,"NL West",162,82,80,0,50.6,0.533,"3rd of 5",9,"",693,644,2242695,29.2,29.6,49,30,"P.Goldschmidt (5.4)","T.Lovullo (82-80)","Arizona Diamondbacks","Popular"
"2",2017,"NL West",162,93,69,0,57.4,0.594,"2nd of 5",11,"Lost LDS (3-0)",812,659,2134375,28.3,28.7,45,23,"Z.Greinke (6.0)","T.Lovullo (93-69)","Arizona Diamondbacks","Popular"
"3",2016,"NL West",162,69,93,0,42.6,0.424,"4th of 5",22,"",752,890,2036216,26.7,26.4,50,29,"J.Segura (5.5)","C.Hale (69-93)","Arizona Diamondbacks","Popular"
"4",2015,"NL West",162,79,83,0,48.8,0.504,"3rd of 5",13,"",720,713,2080145,26.6,27.1,50,27,"P.Goldschmidt (8.7)","C.Hale (79-83)","Arizona Diamondbacks","Popular"
"5",2014,"NL West",162,64,98,0,39.5,0.415,"5th of 5",30,"",615,742,2073730,27.6,28,52,25,"P.Goldschmidt (4.6)","K.Gibson (63-96) and A.Trammell (1-2)","Arizona Diamondbacks","Popular"
"6",2013,"NL West",162,81,81,0,50,0.493,"2nd of 5",11,"",685,695,2134895,28.1,27.6,44,23,"P.Goldschmidt (7.1)","K.Gibson (81-81)","Arizona Diamondbacks","Popular"
"7",2012,"NL West",162,81,81,0,50,0.53,"3rd of 5",13,"",734,688,2177617,28.3,27.4,48,23,"A.Hill (5.1)","K.Gibson (81-81)","Arizona Diamondbacks","Popular"
"8",2011,"NL West",162,94,68,0,58,0.545,"1st of 5",0,"Lost LDS (3-2)",731,662,2105432,28.2,27.4,51,25,"J.Upton (5.5)","K.Gibson (94-68)","Arizona Diamondbacks","Popular"
"9",2010,"NL West",162,65,97,0,40.1,0.428,"5th of 5",27,"",713,836,2056697,26.8,27.9,48,28,"C.Young (5.4)","A.Hinch (31-48) and K.Gibson (34-49)","Arizona Diamondbacks","Popular"
"10",2009,"NL West",162,70,92,0,43.2,0.462,"5th of 5",25,"",720,782,2128765,26.5,27.7,45,24,"D.Haren (7.0)","B.Melvin (12-17) and A.Hinch (58-75)","Arizona Diamondbacks","Popular"
"11",2008,"NL West",162,82,80,0,50.6,0.509,"2nd of 5",2,"",720,706,2509924,26.7,29.4,41,20,"D.Haren (6.5)","B.Melvin (82-80)","Arizona Diamondbacks","Popular"
"12",2007,"NL West",162,90,72,0,55.6,0.487,"1st of 5",0,"Lost NLCS (4-0)",712,732,2325249,26.6,28.2,47,26,"B.Webb (5.9)","B.Melvin (90-72)","Arizona Diamondbacks","Popular"
"13",2006,"NL West",162,76,86,0,46.9,0.491,"4th of 5",12,"",773,788,2091685,29.7,28.8,45,25,"B.Webb (7.0)","B.Melvin (76-86)","Arizona Diamondbacks","Popular"
"14",2005,"NL West",162,77,85,0,47.5,0.406,"2nd of 5",5,"",696,856,2059424,30.3,27.4,43,25,"C.Counsell (5.5)","B.Melvin (77-85)","Arizona Diamondbacks","Popular"
"15",2004,"NL West",162,51,111,0,31.5,0.333,"5th of 5",42,"",615,899,2519560,28.9,29.3,52,25,"R.Johnson (8.2)","B.Brenly (29-50) and A.Pedrique (22-61)","Arizona Diamondbacks","Popular"
"16",2003,"NL West",162,84,78,0,51.9,0.521,"3rd of 5",16,"",717,685,2805542,30.6,29.2,43,22,"B.Webb (5.9)","B.Brenly (84-78)","Arizona Diamondbacks","Popular"
"17",2002,"NL West",162,98,64,0,60.5,0.588,"1st of 5",0,"Lost LDS (3-0)",819,674,3198977,31.7,31.7,42,20,"R.Johnson (10.5)","B.Brenly (98-64)","Arizona Diamondbacks","Very popular"
"18",2001,"NL West",162,92,70,0,56.8,0.586,"1st of 5",0,"Won WS (4-3)",818,677,2736451,31.9,30.9,47,22,"R.Johnson (9.5)","B.Brenly (92-70)","Arizona Diamondbacks","Popular"
"19",2000,"NL West",162,85,77,0,52.5,0.522,"3rd of 5",12,"",792,754,2942251,30.8,31.6,41,17,"R.Johnson (8.1)","B.Showalter (85-77)","Arizona Diamondbacks","Popular"
"20",1999,"NL West",162,100,62,0,61.7,0.632,"1st of 5",0,"Lost LDS (3-1)",908,676,3019654,30,30.6,43,20,"R.Johnson (8.6)","B.Showalter (100-62)","Arizona Diamondbacks","Very popular"
"21",1998,"NL West",162,65,97,0,40.1,0.41,"5th of 5",33,"",665,812,3610290,27.8,27.4,46,25,"O.Daal (4.1)","B.Showalter (65-97)","Arizona Diamondbacks","Very popular"
"22",2018,"NL East",162,90,72,0,55.6,0.566,"1st of 5",0,"Lost LDS (3-1)",759,657,2555781,27.4,27.7,58,35,"F.Freeman (6.1)","B.Snitker (90-72)","Atlanta Braves","Popular"
"23",2017,"NL East",162,72,90,0,44.4,0.448,"3rd of 5",25,"",732,821,2505252,28.6,29.4,49,26,"F.Freeman (4.4)","B.Snitker (72-90)","Atlanta Braves","Popular"
"24",2016,"NL East",161,68,93,0,42.2,0.417,"5th of 5",26,"",649,779,2020914,28.9,26.4,60,35,"F.Freeman (6.5)","F.Gonzalez (9-28) and B.Snitker (59-65)","Atlanta Braves","Popular"
"25",2015,"NL East",162,67,95,0,41.4,0.374,"4th of 5",23,"",573,760,2001392,28.8,26.6,60,37,"A.Simmons (3.9)","F.Gonzalez (67-95)","Atlanta Braves","Popular"
"26",2014,"NL East",162,79,83,0,48.8,0.481,"2nd of 5",17,"",573,597,2354305,26.8,27.3,39,20,"J.Heyward (5.8)","F.Gonzalez (79-83)","Atlanta Braves","Popular"
"27",2013,"NL East",162,96,66,0,59.3,0.603,"1st of 5",0,"Lost LDS (3-1)",688,548,2548679,26.8,27.2,44,21,"A.Simmons (7.0)","F.Gonzalez (96-66)","Atlanta Braves","Popular"
"28",2012,"NL East",162,94,68,0,58,0.57,"2nd of 5",4,"Lost NLWC (1-0)",700,600,2420171,28.5,27.6,41,21,"M.Bourn (6.0)","F.Gonzalez (94-68)","Atlanta Braves","Popular"
"29",2011,"NL East",162,89,73,0,54.9,0.526,"2nd of 5",13,"",641,605,2372940,28.9,28.4,45,21,"E.O'Flaherty (3.3)","F.Gonzalez (89-73)","Atlanta Braves","Popular"
"30",2010,"NL East",162,91,71,0,56.2,0.573,"2nd of 5",6,"Lost LDS (3-1)",738,629,2510119,28.6,30.1,43,21,"J.Heyward (6.4)","B.Cox (91-71)","Atlanta Braves","Popular"
"31",2009,"NL East",162,86,76,0,53.1,0.562,"3rd of 5",7,"",735,641,2373631,28.8,28.9,45,21,"J.Jurrjens (6.7)","B.Cox (86-76)","Atlanta Braves","Popular"
"32",2008,"NL East",162,72,90,0,44.4,0.485,"4th of 5",20,"",753,778,2532834,27.2,28.6,49,28,"C.Jones (7.3)","B.Cox (72-90)","Atlanta Braves","Popular"
"33",2007,"NL East",162,84,78,0,51.9,0.546,"3rd of 5",5,"",810,733,2745207,27.7,29.4,50,28,"C.Jones (7.6)","B.Cox (84-78)","Atlanta Braves","Popular"
"34",2006,"NL East",162,79,83,0,48.8,0.524,"3rd of 5",18,"",849,805,2550524,27.5,29.4,45,26,"J.Smoltz (5.8)","B.Cox (79-83)","Atlanta Braves","Popular"
"35",2005,"NL East",162,90,72,0,55.6,0.56,"1st of 5",0,"Lost LDS (3-1)",769,674,2521167,28.1,28.6,45,26,"A.Jones (6.7)","B.Cox (90-72)","Atlanta Braves","Popular"
"36",2004,"NL East",162,96,66,0,59.3,0.583,"1st of 5",0,"Lost LDS (3-2)",803,668,2327565,28.9,30.1,39,21,"J.Drew (8.3)","B.Cox (96-66)","Atlanta Braves","Popular"
"37",2003,"NL East",162,101,61,0,62.3,0.592,"1st of 5",0,"Lost LDS (3-2)",907,740,2401084,30.3,31.1,34,17,"M.Giles (7.9)","B.Cox (101-61)","Atlanta Braves","Popular"
"38",2002,"NL East",161,101,59,1,63.1,0.602,"1st of 5",0,"Lost LDS (3-2)",708,565,2603484,30.6,31.1,38,20,"A.Jones (6.6)","B.Cox (101-59)","Atlanta Braves","Popular"
"39",2001,"NL East",162,88,74,0,54.3,0.557,"1st of 5",0,"Lost NLCS (4-1)",729,643,2823530,30.3,31.1,47,23,"C.Jones (5.9)","B.Cox (88-74)","Atlanta Braves","Popular"
"40",2000,"NL East",162,95,67,0,58.6,0.557,"1st of 5",0,"Lost LDS (3-0)",810,714,3234304,30.8,31.4,47,22,"A.Jones (8.2)","B.Cox (95-67)","Atlanta Braves","Very popular"
"41",1999,"NL East",162,103,59,0,63.6,0.608,"1st of 5",0,"Lost WS (4-0)",840,661,3284897,29.6,28.6,44,22,"A.Jones (7.1)","B.Cox (103-59)","Atlanta Braves","Very popular"
"42",1998,"NL East",162,106,56,0,65.4,0.656,"1st of 5",0,"Lost NLCS (4-2)",826,581,3360860,28.9,29.5,42,19,"A.Jones (7.4)","B.Cox (106-56)","Atlanta Braves","Very popular"
"43",1997,"NL East",162,101,61,0,62.3,0.638,"1st of 5",0,"Lost NLCS (4-2)",791,581,3464488,27.9,28.5,38,17,"G.Maddux (7.7)","B.Cox (101-61)","Atlanta Braves","Very popular"
"44",1996,"NL East",162,96,66,0,59.3,0.58,"1st of 5",0,"Lost WS (4-2)",773,648,2901242,27.9,27.9,42,18,"J.Smoltz (7.7)","B.Cox (96-66)","Atlanta Braves","Popular"
"45",1995,"NL East",144,90,54,0,62.5,0.581,"1st of 5",0,"Won WS (4-2)",645,540,2561831,27.9,27.4,40,20,"G.Maddux (9.6)","B.Cox (90-54)","Atlanta Braves","Popular"
"46",1994,"NL East",114,68,46,0,59.6,0.586,"2nd of 5",6,"",542,448,2539240,28.2,27.4,31,13,"G.Maddux (8.7)","B.Cox (68-46)","Atlanta Braves","Popular"
"47",1993,"NL West",162,104,58,0,64.2,0.641,"1st of 7",0,"Lost NLCS (4-2)",767,559,3884720,28.8,26.8,33,13,"R.Gant (6.5)","B.Cox (104-58)","Atlanta Braves","Very popular"
"48",1992,"NL West",162,98,64,0,60.5,0.582,"1st of 6",0,"Lost WS (4-2)",682,569,3077400,28.4,27.5,41,19,"T.Pendleton (5.0)","B.Cox (98-64)","Atlanta Braves","Very popular"
"49",1991,"NL West",162,94,68,0,58,0.569,"1st of 6",0,"Lost WS (4-3)",749,644,2140217,28,27.1,43,20,"T.Glavine (9.2)","B.Cox (94-68)","Atlanta Braves","Popular"
"50",1990,"NL West",162,65,97,0,40.1,0.416,"6th of 6",26,"",682,821,980129,27.4,25.8,46,23,"R.Gant (5.6)","R.Nixon (25-40) and B.Cox (40-57)","Atlanta Braves","Very unpopular"
"51",1989,"NL West",161,63,97,1,39.4,0.431,"6th of 6",28,"",584,680,984930,28.1,25.4,46,23,"L.Smith (8.8)","R.Nixon (63-97)","Atlanta Braves","Very unpopular"
"52",1988,"NL West",160,54,106,0,33.8,0.371,"6th of 6",39,"",555,741,848089,28.9,27.4,40,19,"P.Smith (3.2)","C.Tanner (12-27) and R.Nixon (42-79)","Atlanta Braves","Very unpopular"
"53",1987,"NL West",161,69,92,0,42.9,0.452,"5th of 6",20,"",747,829,1217402,29.6,29.2,41,20,"D.Murphy (7.7)","C.Tanner (69-92)","Atlanta Braves","Unpopular"
"54",1986,"NL West",161,72,89,0,44.7,0.429,"6th of 6",23,"",615,719,1387181,29.7,28.9,36,16,"D.Palmer (3.6)","C.Tanner (72-89)","Atlanta Braves","Unpopular"
"55",1985,"NL West",162,66,96,0,40.7,0.404,"5th of 6",29,"",632,781,1350137,28.1,28.8,33,14,"D.Murphy (5.0)","E.Haas (50-71) and B.Wine (16-25)","Atlanta Braves","Unpopular"
"56",1984,"NL West",162,80,82,0,49.4,0.484,"2nd of 6",12,"",632,655,1724892,27.8,28.4,38,15,"D.Murphy (5.6)","J.Torre (80-82)","Atlanta Braves","Unpopular"
"57",1983,"NL West",162,88,74,0,54.3,0.57,"2nd of 6",3,"",746,640,2119935,27.7,29.2,40,17,"D.Murphy (7.1)","J.Torre (88-74)","Atlanta Braves","Popular"
"58",1982,"NL West",162,89,73,0,54.9,0.523,"1st of 6",0,"Lost NLCS (3-0)",739,702,1801985,26.9,29.4,39,17,"D.Murphy (6.1)","J.Torre (89-73)","Atlanta Braves","Unpopular"
"59",1981,"NL West",107,50,56,1,47.2,0.476,"5th of 6",15,"",395,416,535418,26.5,31.5,40,16,"B.Benedict (2.6)","B.Cox (50-56)","Atlanta Braves","Very unpopular"
"60",1980,"NL West",161,81,80,0,50.3,0.479,"4th of 6",11,"",630,660,1048411,26.8,29.6,32,11,"D.Murphy (6.6)","B.Cox (81-80)","Atlanta Braves","Unpopular"
"61",1979,"NL West",160,66,94,0,41.3,0.44,"6th of 6",23,"",669,763,769465,26.4,28.9,38,17,"P.Niekro (7.7)","B.Cox (66-94)","Atlanta Braves","Very unpopular"
"62",1978,"NL West",162,69,93,0,42.6,0.399,"6th of 6",26,"",600,750,904494,25.6,28.2,42,18,"P.Niekro (10.4)","B.Cox (69-93)","Atlanta Braves","Very unpopular"
"63",1977,"NL West",162,61,101,0,37.7,0.376,"6th of 6",37,"",678,895,872464,25.8,28.4,42,22,"P.Niekro (8.5)","D.Bristol (60-100), T.Turner (0-1) and V.Benson (1-0)","Atlanta Braves","Very unpopular"
"64",1976,"NL West",162,70,92,0,43.2,0.445,"6th of 6",32,"",620,700,818179,27.8,29.1,43,18,"P.Niekro (6.9)","D.Bristol (70-92)","Atlanta Braves","Very unpopular"
"65",1975,"NL West",161,67,94,0,41.6,0.393,"5th of 6",40,"",583,739,534672,27.2,29.5,40,19,"P.Niekro (6.6)","C.King (58-76) and C.Ryan (9-18)","Atlanta Braves","Very unpopular"
"66",1974,"NL West",163,88,74,1,54.3,0.573,"3rd of 6",14,"",661,563,981085,28.1,29.5,36,15,"P.Niekro (8.0)","E.Mathews (50-49) and C.King (38-25)","Atlanta Braves","Very unpopular"
"67",1973,"NL West",162,76,85,1,47.2,0.515,"5th of 6",22,"",799,774,800655,28,28.2,43,21,"D.Evans (9.0)","E.Mathews (76-85)","Atlanta Braves","Very unpopular"
"68",1972,"NL West",155,70,84,1,45.5,0.432,"4th of 6",25,"",628,730,752973,27.2,28.2,36,17,"P.Niekro (5.6)","L.Harris (47-57) and E.Mathews (23-27)","Atlanta Braves","Very unpopular"
"69",1971,"NL West",162,82,80,0,50.6,0.462,"3rd of 6",8,"",643,699,1006320,27.2,28.5,35,14,"H.Aaron (7.2)","L.Harris (82-80)","Atlanta Braves","Unpopular"
"70",1970,"NL West",162,76,86,0,46.9,0.478,"5th of 6",26,"",736,772,1078848,29.5,28.7,37,17,"R.Carty (5.8)","L.Harris (76-86)","Atlanta Braves","Unpopular"
"71",1969,"NL West",162,93,69,0,57.4,0.541,"1st of 6",0,"Lost NLCS (3-0)",691,631,1458320,29.1,27.5,39,18,"H.Aaron (8.1)","L.Harris (93-69)","Atlanta Braves","Unpopular"
"72",2018,"AL East",162,47,115,0,29,0.341,"5th of 5",61,"",622,892,1564192,28.4,27.1,56,30,"M.Machado (2.9)","B.Showalter (47-115)","Baltimore Orioles","Unpopular"
"73",2017,"AL East",162,75,87,0,46.3,0.444,"5th of 5",18,"",743,841,2028424,28.6,28.2,50,26,"J.Schoop (5.2)","B.Showalter (75-87)","Baltimore Orioles","Popular"
"74",2016,"AL East",162,89,73,0,54.9,0.518,"2nd of 5",4,"Lost ALWC (1-0)",744,715,2172344,28.5,27.9,47,27,"M.Machado (6.9)","B.Showalter (89-73)","Baltimore Orioles","Popular"
"75",2015,"AL East",162,81,81,0,50,0.513,"3rd of 5",12,"",713,693,2281202,27.9,28.3,48,22,"M.Machado (7.1)","B.Showalter (81-81)","Baltimore Orioles","Popular"
"76",2014,"AL East",162,96,66,0,59.3,0.578,"1st of 5",0,"Lost ALCS (4-0)",705,593,2464473,28.3,27.7,44,20,"S.Pearce (5.9)","B.Showalter (96-66)","Baltimore Orioles","Popular"
"77",2013,"AL East",162,85,77,0,52.5,0.523,"3rd of 5",12,"",745,709,2357561,27.8,27.9,52,26,"M.Machado (6.7)","B.Showalter (85-77)","Baltimore Orioles","Popular"
"78",2012,"AL East",162,93,69,0,57.4,0.505,"2nd of 5",2,"Lost LDS (3-2)",712,705,2102240,28,27.6,52,26,"M.Wieters (4.1)","B.Showalter (93-69)","Baltimore Orioles","Popular"
"79",2011,"AL East",162,69,93,0,42.6,0.412,"5th of 5",28,"",708,860,1755461,28.3,28.2,50,27,"M.Wieters (5.2)","B.Showalter (69-93)","Baltimore Orioles","Unpopular"
"80",2010,"AL East",162,66,96,0,40.7,0.389,"5th of 5",30,"",613,785,1733019,28.6,28.4,45,23,"J.Guthrie (4.5)","D.Trembley (15-39), J.Samuel (17-34) and B.Showalter (34-23)","Baltimore Orioles","Unpopular"
"81",2009,"AL East",162,64,98,0,39.5,0.424,"5th of 5",39,"",741,876,1907163,28.7,28.1,48,27,"B.Bergesen (3.3)","D.Trembley (64-98)","Baltimore Orioles","Unpopular"
"82",2008,"AL East",161,68,93,0,42.2,0.452,"5th of 5",28,"",782,869,1950075,30.1,27.9,46,26,"N.Markakis (7.4)","D.Trembley (68-93)","Baltimore Orioles","Unpopular"
"83",2007,"AL East",162,69,93,0,42.6,0.437,"4th of 5",27,"",756,868,2164822,30.4,29,49,27,"E.Bedard (5.8)","S.Perlozzo (29-40) and D.Trembley (40-53)","Baltimore Orioles","Popular"
"84",2006,"AL East",162,70,92,0,43.2,0.428,"4th of 5",27,"",768,899,2153139,30.4,27.9,46,24,"M.Tejada (4.5)","S.Perlozzo (70-92)","Baltimore Orioles","Popular"
"85",2005,"AL East",162,74,88,0,45.7,0.458,"4th of 5",21,"",729,800,2624740,31.5,28.3,46,20,"B.Roberts (7.3)","L.Mazzilli (51-56) and S.Perlozzo (23-32)","Baltimore Orioles","Popular"
"86",2004,"AL East",162,78,84,0,48.1,0.507,"3rd of 5",23,"",842,830,2744018,30.5,27.4,47,22,"M.Tejada (7.4)","L.Mazzilli (78-84)","Baltimore Orioles","Popular"
"87",2003,"AL East",163,71,91,1,43.8,0.455,"4th of 5",30,"",743,820,2454523,29.3,29.2,42,20,"M.Mora (4.7)","M.Hargrove (71-91)","Baltimore Orioles","Popular"
"88",2002,"AL East",162,67,95,0,41.4,0.433,"4th of 5",36,"",667,773,2682439,29.2,27.8,46,20,"M.Mora (4.7)","M.Hargrove (67-95)","Baltimore Orioles","Popular"
"89",2001,"AL East",162,63,98,1,39.1,0.415,"4th of 5",32,"",687,829,3094841,30.2,27.6,46,22,"J.Conine (2.9)","M.Hargrove (63-98)","Baltimore Orioles","Very popular"
"90",2000,"AL East",162,74,88,0,45.7,0.436,"4th of 5",13,"",794,913,3297031,32.2,29.1,50,22,"M.Mussina (5.6)","M.Hargrove (74-88)","Baltimore Orioles","Very popular"
"91",1999,"AL East",162,78,84,0,48.1,0.52,"4th of 5",20,"",851,815,3433150,32.5,30.1,43,21,"B.Anderson (5.9)","R.Miller (78-84)","Baltimore Orioles","Very popular"
"92",1998,"AL East",162,79,83,0,48.8,0.518,"4th of 5",35,"",817,785,3684650,33.2,30.5,48,22,"R.Palmeiro (6.3)","R.Miller (79-83)","Baltimore Orioles","Very popular"
"93",1997,"AL East",162,98,64,0,60.5,0.58,"1st of 5",0,"Lost ALCS (4-2)",812,681,3711132,31.7,30.7,39,17,"M.Mussina (5.5)","D.Johnson (98-64)","Baltimore Orioles","Very popular"
"94",1996,"AL East",163,88,74,1,54.3,0.523,"2nd of 5",4,"Lost ALCS (4-1)",949,903,3646950,31.2,28.9,45,23,"B.Anderson (6.9)","D.Johnson (88-74)","Baltimore Orioles","Very popular"
"95",1995,"AL East",144,71,73,0,49.3,0.543,"3rd of 5",15,"",704,640,3098475,30,29.3,46,23,"M.Mussina (6.1)","P.Regan (71-73)","Baltimore Orioles","Very popular"
"96",1994,"AL East",112,63,49,0,56.3,0.577,"2nd of 5",6,"",589,497,2535359,30.2,29.1,32,15,"M.Mussina (5.4)","J.Oates (63-49)","Baltimore Orioles","Popular"
"97",1993,"AL East",162,85,77,0,52.5,0.524,"3rd of 7",10,"",786,745,3644965,29.4,28.4,41,18,"C.Hoiles (6.8)","J.Oates (85-77)","Baltimore Orioles","Very popular"
"98",1992,"AL East",162,89,73,0,54.9,0.533,"3rd of 7",7,"",705,656,3567819,28.4,27.9,38,16,"M.Mussina (8.2)","J.Oates (89-73)","Baltimore Orioles","Very popular"
"99",1991,"AL East",162,67,95,0,41.4,0.432,"6th of 7",24,"",686,796,2552753,28.2,27.4,42,20,"C.Ripken (11.5)","F.Robinson (13-24) and J.Oates (54-71)","Baltimore Orioles","Popular"
"100",1990,"AL East",161,76,85,0,47.2,0.481,"5th of 7",11,"",669,698,2415189,27.4,26.2,47,21,"C.Ripken (7.5)","F.Robinson (76-85)","Baltimore Orioles","Popular"
"101",1989,"AL East",162,87,75,0,53.7,0.514,"2nd of 7",2,"",708,686,2535208,27.1,26.9,40,17,"C.Ripken (6.7)","F.Robinson (87-75)","Baltimore Orioles","Popular"
"102",1988,"AL East",161,54,107,0,33.5,0.341,"7th of 7",34,"",550,789,1660738,27.7,27.3,43,21,"C.Ripken (5.8)","C.Ripken (0-6) and F.Robinson (54-101)","Baltimore Orioles","Unpopular"
"103",1987,"AL East",162,67,95,0,41.4,0.415,"6th of 7",31,"",729,880,1835692,30.2,27.7,41,18,"E.Murray (3.9)","C.Ripken (67-95)","Baltimore Orioles","Unpopular"
"104",1986,"AL East",162,73,89,0,45.1,0.468,"7th of 7",22,"",708,760,1973176,29.8,28.8,41,17,"C.Ripken (6.6)","E.Weaver (73-89)","Baltimore Orioles","Unpopular"
"105",1985,"AL East",161,83,78,0,51.6,0.531,"4th of 7",16,"",818,764,2132387,29.6,28.9,38,15,"C.Ripken (5.6)","J.Altobelli (29-26), C.Ripken (1-0) and E.Weaver (53-52)","Baltimore Orioles","Popular"
"106",1984,"AL East",162,85,77,0,52.5,0.51,"5th of 7",19,"",681,667,2045784,29.9,28.6,37,15,"C.Ripken (10.0)","J.Altobelli (85-77)","Baltimore Orioles","Popular"
"107",1983,"AL East",162,98,64,0,60.5,0.592,"1st of 7",0,"Won WS (4-1)",799,652,2042071,29.8,28.2,37,14,"C.Ripken (8.2)","J.Altobelli (98-64)","Baltimore Orioles","Popular"
"108",1982,"AL East",163,94,68,1,58,0.554,"2nd of 7",1,"",774,687,1613031,29.6,29.5,34,13,"E.Murray (5.2)","E.Weaver (94-68)","Baltimore Orioles","Unpopular"
"109",1981,"AL East",105,59,46,0,56.2,0.492,"2nd of 7",1,"",429,437,1024247,30.3,29.3,34,12,"E.Murray (3.7)","E.Weaver (59-46)","Baltimore Orioles","Unpopular"
"110",1980,"AL East",162,100,62,0,61.7,0.603,"2nd of 7",3,"",805,640,1797438,29.7,28.8,34,12,"A.Bumbry (6.1)","E.Weaver (100-62)","Baltimore Orioles","Unpopular"
"111",1979,"AL East",159,102,57,0,64.2,0.618,"1st of 7",0,"Lost WS (4-3)",757,582,1681009,28.9,27.5,34,12,"K.Singleton (5.3)","E.Weaver (102-57)","Baltimore Orioles","Unpopular"
"112",1978,"AL East",161,90,71,0,55.9,0.518,"4th of 7",9,"",659,633,1051724,28.1,26.8,33,15,"D.DeCinces (6.8)","E.Weaver (90-71)","Baltimore Orioles","Unpopular"
"113",1977,"AL East",161,97,64,0,60.2,0.544,"2nd of 7",2,"",719,653,1195769,27.9,27.9,38,16,"J.Palmer (7.3)","E.Weaver (97-64)","Baltimore Orioles","Unpopular"
"114",1976,"AL East",162,88,74,0,54.3,0.516,"2nd of 6",10,"",619,598,1058609,29.5,28.8,37,15,"M.Belanger (6.5)","E.Weaver (88-74)","Baltimore Orioles","Unpopular"
"115",1975,"AL East",159,90,69,0,56.6,0.595,"2nd of 6",4,"",682,553,1002157,30.3,29.1,34,13,"J.Palmer (8.4)","E.Weaver (90-69)","Baltimore Orioles","Unpopular"
"116",1974,"AL East",162,91,71,0,56.2,0.534,"1st of 6",0,"Lost ALCS (3-1)",659,612,962572,29,28.7,32,11,"B.Grich (7.3)","E.Weaver (91-71)","Baltimore Orioles","Very unpopular"
"117",1973,"AL East",162,97,65,0,59.9,0.632,"1st of 6",0,"Lost ALCS (3-2)",754,561,958667,28.2,28.8,33,12,"B.Grich (8.3)","E.Weaver (97-65)","Baltimore Orioles","Very unpopular"
"118",1972,"AL East",154,80,74,0,51.9,0.585,"3rd of 6",5,"",519,430,899950,28.8,28.8,32,11,"J.Palmer (6.1)","E.Weaver (80-74)","Baltimore Orioles","Very unpopular"
"119",1971,"AL East",158,101,57,0,63.9,0.649,"1st of 6",0,"Lost WS (4-3)",742,530,1023037,29.9,29.5,31,13,"B.Robinson (6.0)","E.Weaver (101-57)","Baltimore Orioles","Unpopular"
"120",1970,"AL East",162,108,54,0,66.7,0.643,"1st of 6",0,"Won WS (4-1)",792,574,1057069,28.8,28.5,32,12,"J.Palmer (6.4)","E.Weaver (108-54)","Baltimore Orioles","Unpopular"
"121",1969,"AL East",162,109,53,0,67.3,0.679,"1st of 6",0,"Lost WS (4-1)",779,517,1062069,28.2,27.7,30,14,"F.Robinson (7.5)","E.Weaver (109-53)","Baltimore Orioles","Unpopular"
"122",2018,"AL East",162,108,54,0,66.7,0.635,"1st of 5",0,"Won WS (4-1)",876,647,2895575,27.7,28.9,44,23,"M.Betts (10.9)","A.Cora (108-54)","Boston Red Sox","Popular"
"123",2017,"AL East",162,93,69,0,57.4,0.573,"1st of 5",0,"Lost LDS (3-1)",785,668,2917678,27.3,28.4,49,27,"M.Betts (6.4)","J.Farrell (93-69)","Boston Red Sox","Popular"
"124",2016,"AL East",162,93,69,0,57.4,0.606,"1st of 5",0,"Lost LDS (3-0)",878,694,2955434,28.5,29,50,26,"M.Betts (9.7)","J.Farrell (93-69)","Boston Red Sox","Popular"
"125",2015,"AL East",162,78,84,0,48.1,0.497,"5th of 5",15,"",748,753,2880694,28.3,28.6,51,26,"M.Betts (5.9)","J.Farrell (78-84)","Boston Red Sox","Popular"
"126",2014,"AL East",162,71,91,0,43.8,0.445,"5th of 5",25,"",634,715,2956089,29.2,29.9,55,25,"D.Pedroia (4.7)","J.Farrell (71-91)","Boston Red Sox","Popular"
"127",2013,"AL East",162,97,65,0,59.9,0.618,"1st of 5",0,"Won WS (4-2)",853,656,2833333,29.6,30.2,48,26,"D.Pedroia (6.3)","J.Farrell (97-65)","Boston Red Sox","Popular"
"128",2012,"AL East",162,69,93,0,42.6,0.457,"5th of 5",26,"",734,806,3043003,29.4,28.7,56,26,"D.Pedroia (5.1)","B.Valentine (69-93)","Boston Red Sox","Very popular"
"129",2011,"AL East",162,90,72,0,55.6,0.578,"3rd of 5",7,"",875,737,3054001,30.1,30.3,49,27,"J.Ellsbury (8.3)","T.Francona (90-72)","Boston Red Sox","Very popular"
"130",2010,"AL East",162,89,73,0,54.9,0.543,"3rd of 5",7,"",818,744,3046445,30.9,29.6,53,25,"A.Beltre (7.8)","T.Francona (89-73)","Boston Red Sox","Very popular"
"131",2009,"AL East",162,95,67,0,58.6,0.577,"2nd of 5",8,"Lost LDS (3-0)",872,736,3062699,30,29.8,52,27,"K.Youkilis (6.6)","T.Francona (95-67)","Boston Red Sox","Very popular"
"132",2008,"AL East",162,95,67,0,58.6,0.589,"2nd of 5",2,"Lost ALCS (4-3)",845,694,3048250,29.8,29.2,47,23,"D.Pedroia (6.9)","T.Francona (95-67)","Boston Red Sox","Very popular"
"133",2007,"AL East",162,96,66,0,59.3,0.624,"1st of 5",0,"Won WS (4-0)",867,657,2970755,30.1,31.1,40,20,"J.Beckett (6.5)","T.Francona (96-66)","Boston Red Sox","Popular"
